customer_id,predicted_clv,clv_segment,clv_percentile
11500,10820973261.062042,Platinum,100.0
28750,6061106781.714707,Platinum,99.87714987714988
3150,5723462126.718231,Platinum,99.75429975429975
19050,5238465215.583822,Platinum,99.63144963144963
29100,4312889671.674603,Platinum,99.5085995085995
20750,2666069672.490093,Platinum,99.38574938574939
25750,2646397330.460007,Platinum,99.26289926289927
1453,1835752220.5764656,Platinum,99.14004914004913
7651,1699036765.6351895,Platinum,99.01719901719902
21051,1506682739.1539505,Platinum,98.8943488943489
28050,1476606693.9347126,Platinum,98.77149877149877
20350,1474899141.286563,Platinum,98.64864864864865
4453,1470276536.891208,Platinum,98.52579852579852
22650,1403339272.1501646,Platinum,98.4029484029484
3451,1396665263.4094357,Platinum,98.28009828009829
2200,1378785903.8597744,Platinum,98.15724815724816
6350,1343139687.1218772,Platinum,98.03439803439802
426,1316718522.3196263,Platinum,97.91154791154791
21250,1277764027.2435102,Platinum,97.78869778869779
2150,1193423144.7901144,Platinum,97.66584766584766
21850,1149492099.4390624,Platinum,97.54299754299754
367,1076545305.798408,Platinum,97.42014742014742
5551,1065839817.0353916,Platinum,97.2972972972973
5554,1006277628.8256186,Platinum,97.17444717444718
3350,970290241.3778548,Platinum,97.05159705159704
22250,894451848.5720884,Platinum,96.92874692874693
2002,877298518.8714691,Platinum,96.80589680589681
383,876294472.8199412,Platinum,96.68304668304668
15150,813528793.990222,Platinum,96.56019656019656
6101,767290365.9927641,Platinum,96.43734643734643
358,745780090.1866692,Platinum,96.31449631449631
2751,739421732.4446516,Platinum,96.1916461916462
9502,725778327.254296,Platinum,96.06879606879608
4200,712060988.0579838,Platinum,95.94594594594594
151,711580082.3705053,Platinum,95.82309582309583
14050,684921244.0285225,Platinum,95.7002457002457
17100,664046035.7980322,Platinum,95.57739557739558
4800,659254220.9821455,Platinum,95.45454545454545
5603,647318465.7150451,Platinum,95.33169533169533
506,639839966.2978088,Platinum,95.2088452088452
29850,639821371.6454194,Platinum,95.0859950859951
13300,597438022.7031755,Platinum,94.96314496314497
3752,558878601.2744408,Platinum,94.84029484029483
10250,551580079.3289123,Platinum,94.71744471744472
15350,536891161.6797837,Platinum,94.5945945945946
6250,532166708.03221637,Platinum,94.47174447174447
16050,521840686.2287561,Platinum,94.34889434889435
3700,500348015.7811304,Platinum,94.22604422604422
6751,488561998.43646437,Platinum,94.1031941031941
10800,486167502.8825932,Platinum,93.98034398034399
5501,474188804.8372675,Platinum,93.85749385749385
390,471939168.2595292,Platinum,93.73464373464373
460,469270198.28937066,Platinum,93.61179361179362
12700,465818062.8270233,Platinum,93.48894348894349
20050,463525174.96825016,Platinum,93.36609336609337
15553,462517444.24396235,Platinum,93.24324324324324
4602,457477144.0892789,Platinum,93.12039312039312
101,455002674.29131645,Platinum,92.997542997543
2300,448566624.5961003,Platinum,92.87469287469288
3500,424354010.3622631,Platinum,92.75184275184274
12050,412709982.2014652,Platinum,92.62899262899262
403,399637000.40201294,Platinum,92.50614250614251
5450,384928781.75883543,Platinum,92.38329238329239
314,376389015.534823,Platinum,92.26044226044226
342,373657577.38732415,Platinum,92.13759213759214
6153,370733029.14930725,Platinum,92.01474201474201
4051,364991329.2429467,Platinum,91.8918918918919
368,355815941.8089206,Platinum,91.76904176904176
2500,352178781.6935292,Platinum,91.64619164619164
348,351907768.4795883,Platinum,91.52334152334153
23702,345211000.44059485,Platinum,91.4004914004914
425,339518633.61886436,Platinum,91.27764127764128
471,338303724.4639301,Platinum,91.15479115479116
16151,335395893.71649384,Platinum,91.03194103194103
8502,333376202.0878934,Platinum,90.9090909090909
476,331562263.05297333,Platinum,90.7862407862408
19000,327434065.6328001,Platinum,90.66339066339066
22950,323440594.8434155,Platinum,90.54054054054053
8650,322303586.2934155,Platinum,90.41769041769042
3601,318615188.0772457,Platinum,90.2948402948403
5150,316842978.3503587,Platinum,90.17199017199017
3450,313432377.69078207,Platinum,90.04914004914005
5301,311083725.3946995,Platinum,89.92628992628993
9350,282229923.11043835,Platinum,89.8034398034398
25852,280124132.08800286,Platinum,89.68058968058969
23550,279021722.1619151,Platinum,89.55773955773955
392,277522500.85450715,Platinum,89.43488943488943
22500,277516372.8775351,Platinum,89.31203931203932
7450,276228106.7248098,Platinum,89.1891891891892
17804,270904876.6594546,Platinum,89.06633906633907
26752,261939507.44998845,Platinum,88.94348894348894
6800,260584219.51541626,Platinum,88.82063882063882
18250,255288876.55123514,Platinum,88.6977886977887
8600,254640970.89217326,Platinum,88.57493857493857
150,248684944.6868381,Platinum,88.45208845208845
21400,241313474.72999275,Platinum,88.32923832923832
12250,234475032.76666203,Platinum,88.20638820638821
5050,227472693.16821843,Platinum,88.08353808353809
329,220629937.06197223,Platinum,87.96068796068795
15000,217209525.52811295,Platinum,87.83783783783784
